TABLE 2.,,,,,
        Experimental T–x results and derived phase equilibrium information of {methanol (1) + water (2)} binary system at various pressures.,,,,,
x1a,T/Kb,γ1c,γ2d,y1e,GE/(J · mol−1) f
P = 15.19 kPa,,,,,
0,327.4,1.606042,1,0,0
0.1,318.05,1.483868,1.004199,0.433386,114.3289
0.2,312.4,1.378775,1.017334,0.62119,202.5571
0.3,308.55,1.288843,1.04051,0.725289,266.587
0.4,305.7,1.212544,1.075326,0.79242,306.6749
0.5,303.5,1.148704,1.124061,0.840656,322.456
0.6,301.7,1.096488,1.189948,0.87856,313.1177
0.7,300.1,1.0554,1.277601,0.910835,277.5458
0.8,298.7,1.025321,1.393705,0.940365,214.5586
0.9,297.4,1.006563,1.548131,0.969404,122.622
1,296.1,1,1.755839,1,0
P = 29.38 kPa,,,,,
0,341.75,2.45739,1,0,0
0.1,329.5,1.93843,1.012246,0.479956,125.8029
0.2,324,1.611825,1.045444,0.633507,223.344
0.3,320.75,1.397867,1.095969,0.71447,294.9369
0.4,318.4,1.254011,1.161658,0.769848,340.3327
0.5,316.5,1.156114,1.241205,0.814265,358.7403
0.6,314.85,1.08975,1.333832,0.85364,349.0856
0.7,313.3,1.045907,1.439083,0.890791,310.0188
0.8,311.9,1.018743,1.55671,0.927078,240.115
0.9,310.5,1.004342,1.686593,0.963351,137.4669
1,309.2,1,1.82869,1,0
P = 42.66 kPa,,,,,
0,350.6,1.706597,1,0,0
0.1,340.4,1.56327,1.004659,0.41357,138.2823
0.2,334.3,1.440576,1.019296,0.598483,245.4145
0.3,330.15,1.335973,1.045287,0.702982,323.6261
0.4,327.1,1.247446,1.084672,0.77136,373.1334
0.5,324.8,1.17345,1.140428,0.821163,393.3805
0.6,322.9,1.112883,1.216898,0.861004,383.0767
0.7,321.3,1.065096,1.320502,0.89567,340.7202
0.8,319.85,1.029928,1.460918,0.928488,264.3395
0.9,318.5,1.007819,1.65315,0.962243,151.6725
1,317.15,1,1.921295,1,0
P = 56.03 kPa,,,,,
0,357.35,1.671714,1,0,0
0.1,347.25,1.535669,1.004507,0.400566,135.3171
0.2,341.05,1.419041,1.018645,0.585914,240.0016
0.3,336.8,1.319504,1.04369,0.692578,316.2321
0.4,333.7,1.235209,1.081525,0.763113,364.3152
0.5,331.3,1.16474,1.134872,0.814907,383.6663
0.6,329.3,1.107087,1.207663,0.856497,373.1637
0.7,327.6,1.06165,1.305642,0.892694,331.4559
0.8,326.1,1.028281,1.437342,0.926805,256.8076
0.9,324.7,1.007367,1.615767,0.961601,147.1294
1,323.35,1,1.861367,1,0
P = 67.38 kPa,,,,,
0,362.1,1.782389,1,0,0
0.1,351.35,1.623431,1.004965,0.408929,90.78876
0.2,344.9,1.487694,1.020617,0.591988,164.0267
0.3,340.65,1.372172,1.048554,0.695447,220.3343
0.4,337.55,1.274486,1.091179,0.763268,258.8257
0.5,335.2,1.192816,1.152064,0.812859,278.0438
0.6,333.3,1.125869,1.236535,0.85276,275.9942
0.7,331.7,1.072884,1.352672,0.887901,250.2951
0.8,330.25,1.033692,1.513059,0.921845,198.0729
0.9,328.9,1.008866,1.737989,0.957859,115.9826
1,327.65,1,2.061682,1,0
P = 95.3 kPa,,,,,
0,371.45,1.649278,1,0,0
0.1,361.2,1.517319,1.004426,0.381845,137.1455
0.2,354.85,1.40428,1.018278,0.566476,243.085
0.3,350.4,1.307894,1.042748,0.6755,319.951
0.4,347.1,1.22636,1.079585,0.748836,368.1293
0.5,344.55,1.158295,1.131307,0.803301,387.1822
0.6,342.45,1.102709,1.201525,0.847367,376.1008
0.7,340.65,1.059,1.295456,0.885926,333.5914
0.8,339.05,1.026994,1.420761,0.922327,258.0599
0.9,337.55,1.007009,1.588931,0.959379,147.595
1,336.1,1,1.817709,1,0
